,count,projectID,projectAcronym
1,6,101003650.0,ATAC
2,2,101003688.0,EpiPose
3,144,115797.0,INNODIA
4,12,115842.0,VSV-EBOVAC
5,32,115843.0,EbolaMoDRAD
6,14,115844.0,FILODIAG
7,12,115847.0,EBODAC
8,4,115848.0,Mofina
9,42,115854.0,EBOVAC1
10,2,115861.0,EBOVAC2
11,58,115881.0,RHAPSODY
12,8,115890.0,ADAPT-SMART
13,82,115902.0,RADAR-CNS
14,14,115910.0,PERISCOPE
15,38,115916.0,PRISM
16,8,115924.0,VAC2VAC
17,22,115952.0,AMYPAD
18,16,115966.0,PREFER
19,120,115974.0,BEAt-DKD
20,6,115975.0,ADAPTED
21,28,115976.0,PHAGO
22,2,115985.0,MOPEAD
23,16,116019.0,RESCEU
24,20,116020.0,ROADMAP
25,20,116026.0,HARMONY
26,36,116030.0,TransQST
27,10,116055.0,DO-IT
28,58,116060.0,IMPRiND
29,16,116064.0,ITCC-P4
30,12,116068.0,VSV-EBOPLUS
31,20,116072.0,NGN-PET
32,44,116074.0,BigData Heart
33,12,116076.0,MACUSTAR
34,24,116106.0,IB4SD-TRISTAN
35,6,632927.0,ERC-EuropePMC-1-2014
36,7108,633053.0,EUROfusion
37,12,633098.0,UTOFIA
38,84,633127.0,UPWARDS
39,36,633152.0,GEOFLUIDS
40,14,633168.0,BIOCYCLE
41,100,633172.0,EuroMix
42,110,633184.0,SAPHIR
43,44,633190.0,FAIR-PARK-II
44,50,633192.0,ToMax
45,100,633196.0,CATCH ME
46,354,633211.0,AtlantOS
47,58,633212.0,ALEC
48,10,633338.0,SUCCESS
49,26,633413.0,MIROCALS
50,16,633428.0,EngineeringPercepts
51,66,633436.0,ULTIMATE
52,114,633464.0,DIABOLO
53,32,633476.0,AquaSpace
54,52,633477.0,MORE-CONNECT
55,26,633485.0,SafetyCube
56,56,633491.0,DOLORisk
57,26,633509.0,EXTPRO
58,532,633531.0,Feed-a-Gene
59,4,633545.0,PRO-CF-MED
60,66,633567.0,IDEAS
61,66,633571.0,DIVERSIFOOD
62,6,633589.0,Ageing with elegans
63,34,633592.0,APERIM
64,440,633595.0,DYNAHEALTH
65,18,633635.0,DiaChemo
66,96,633666.0,LIFEPATH
67,130,633680.0,DiscardLess
68,44,633692.0,SUSFANS
69,4,633724.0,SHIPS
70,16,633765.0,SECURE
71,20,633776.0,MMTech
72,14,633780.0,DIAGORAS
73,82,633784.0,B-CAST
74,52,633814.0,PEGASUS
75,10,633818.0,dasQ
76,26,633838.0,PROVIDE
77,16,633888.0,SPENmr
78,56,633937.0,ULTRAPLACAD
79,92,633945.0,FATIMA
80,74,633962.0,P4SB
81,8,633964.0,ImmunoAgeing
82,64,633974.0,SOUND
83,42,633983.0,ENSAT-HT
84,112,633999.0,EUCLID
85,18,634013.0,PHOCNOSIS
86,32,634086.0,NEPHSTROM
87,20,634107.0,MULTIMOT
88,22,634113.0,GermAge
89,100,634135.0,HERCULES-2
90,12,634137.0,FAPIC
91,86,634143.0,MedBioinformatics
92,24,634144.0,SUSTAIN
93,62,634149.0,PROSPECT
94,362,634179.0,EMPHASIS
95,30,634200.0,BIOCASCADES
96,76,634201.0,MOCHA
97,26,634238.0,OPERAM
98,4,634270.0,SITless
99,34,634288.0,SELFIE
100,32,634361.0,nEUROSTRESSPEP
101,40,634402.0,METASPACE
102,132,634413.0,EPoS
103,6,634415.0,PoC-ID
104,214,634429.0,ParaFishControl
105,8,634439.0,EU-CaRE
106,58,634446.0,I-MOVE-plus
107,32,634453.0,EUthyroid
108,234,634476.0,TREASURE
109,38,634479.0,EYE-RISK
110,70,634486.0,INMARE
111,280,634495.0,MINOUW
112,22,634534.0,HYPROGEO
113,124,634541.0,CDS-QUAMRI
114,22,634559.0,BETA3_LVH
115,72,634561.0,TRADITOM
116,16,634570.0,FORECEE
