,variable,value
0,- 18 DEGREES,- 18 DEGREES
1,Matenadaran M.Mashtots Institute of Ancient Manuscripts,Matenadaran M.Mashtots Institute of Ancient Manuscripts
2,ABBIA GNSS TECHNOLOGIES SARL,Have GNSS Technologies SARL
3,ACADEMIA TEHNICA MILITARA FERDINAND I,Military Technical Academy Ferdinand I
4,AGROTIKOS PTINOTROFIKOS SYNETERISMOS IOANNINON I PINDOS,Agricultural Poultry Conditioning Ioannina Pindos
5,ALL-UKRAINIAN CHARITABLE ORGANIZATION MUNICIPAL DEVELOPMENT INSTITUTE,ALL-UKRAINIAN CHARITABLE ORGANIZATION MUNICIPAL DEVELOPMENT INSTITUTE
6,ASSOCIATION NATIONAL CENTRE FOR SUPERCOMPUTING APPLICATIONS,ASSOCIATION NATIONAL CENTRE FOR SUPERCOMPUTING APPLICATIONS
7,FEDERAL STATE AUTONOMOUS EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION URAL FEDERAL UNIVERSITY NAMED AFTER THE FIRST PRESIDENT OF RUSSIA B.N.YELTSIN,FEDERAL STATE AUTONOMOUS EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION URAL FEDERAL UNIVERSITY NAMED AFTER THE FIRST PRESIDENT OF RUSSIA B.N.YELTSIN
8,Fondacija za promovisanje nauke PRONA,Foundation to promote science find
9,HELLENIC RESEARCH AND EDUCATIONAL INSTITUTE PANOS MYLONAS FOR THE ROAD SAFETY AND THE PREVENTION/REDUCTION OF TRAFFIC ACCIDENTS,HELLENIC RESEARCH AND EDUCATIONAL INSTITUTE PANOS MYLONAS FOR THE ROAD SAFETY AND THE PREVENTION/REDUCTION OF TRAFFIC ACCIDENTS
10,INSTITUTE OF OPTICAL MATERIALS AND TECHNOLOGIES ACADEMICIAN JORDAN MALINOWSKI - BULGARIAN ACADEMY OF SCIENCES,INSTITUTE OF OPTICAL MATERIALS AND TECHNOLOGIES ACADEMICIAN JORDAN MALINOWSKI - BULGARIAN ACADEMY OF SCIENCES
11,INSTITUTIA MEDICO-SANITARA PUBLICA - INSTITUTUL DE FTIZIOPNEUMOLOGIE CHIRIL DRAGANIUC,Public medical institution - Institute of Ftiziopneumology Chiril Draganiuc
12,INSTITUTO TUMORI GIOVANNI PAOLO II,Instituto Tumors John Paul II
13,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE AEROSPATIALA ELIE CARAFOLI- INCAS BUCURESTI,National Institute for Aerospace Research and Development Elie Carafoli - Incas Bucharest
14,INSTITUTUL NATIONAL PENTRU STUDIEREA HOLOCAUSTULUI DIN ROMANIA ELIE WIESEL,National Institute for Study of Holocaust in Romania Elie Wiesel
15,Istituto Nazionale di Alta Matematica Francesco Severi,National Institute of High Mathematics Francesco Severi
16,NATIONAL CENTER FOR SCIENTIFIC RESEARCH DEMOKRITOS,NATIONAL CENTER FOR SCIENTIFIC RESEARCH DEMOKRITOS
17,NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPhI,NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPhI
18,REPUBLICAN STATE ENTERPRISE ON THE RIGHT OF ECONOMIC MANAGEMENT INSTITUTE OF MATHEMATICS AND MATHEMATICAL MODELING OF THE COMMITTEE OF SCIENCE OF THE MINISTRY OF EDUCATION AND SCIENCE OF THE REPUBLIC OF KAZAKHSTAN,REPUBLICAN STATE ENTERPRISE ON THE RIGHT OF ECONOMIC MANAGEMENT INSTITUTE OF MATHEMATICS AND MATHEMATICAL MODELING OF THE COMMITTEE OF SCIENCE OF THE MINISTRY OF EDUCATION AND SCIENCE OF THE REPUBLIC OF KAZAKHSTAN
19,RIGA MUNICIPAL AGENCY RIGA ENERGY AGENCY,RIGA MUNICIPAL AGENCY RIGA ENERGY AGENCY
20,Stowarzyszenie Grupy Przedsiebiorcow Przemyslu Lotniczego Dolina Lotnicza,Association of the Entrepreneurship Group of the Aviation Valley Air Valley
21,UAB Spronk NMR Consultancy,UAB Spronk NMR Consultancy
