,projectID,projectAcronym
0,640376,Rheform
782,825575,EJP RD
955,821890,RETALT
965,818342,PVadapt
1059,825114,SmartVista
1064,842234,FRUITFUL
1136,708867,LAF-GRAFT
1138,814401,Gov4Nano
1197,822014,S4Pro
1246,815141,DECENTER
1254,820707,CICERONE
1289,777460,Hypo-RESOLVE
1313,811470,AllergyExplorer
1326,769246,STRATOFLY
1338,800832,CellFreeImplant
1341,776528,proGIreg
1375,776465,RURITAGE
1415,797592,GutMIND
1418,785122,ANTICSS
1437,769086,CityChangerCargoBike
1462,771168,ForceMorph
1465,771878,FRECOM
1476,796322,PolymersForSolarFuel
1484,785350,NEXTTRIP
1507,777996,SealedGRID
1513,793807,GoldTrace
1514,757763,COGNAP
1515,772459,D-SynMA
1571,780890,GrassrootWavelengths
1607,723311,C-MobILE
1645,759388,LONGSPIN
1647,762119,ULTRAWAVE
1655,758913,GlycoEdit
1656,755659,MALEPREG
1657,769350,ARTEM
1682,761488,CPN
1691,773872,YPACK
1713,764859,POEM
1734,764927,YEASTDOC
1749,778392,OPTIBLANKS
1750,754059,Fit-to-nZEB
1767,116026,HARMONY
1824,741420,GROGandGIN
1825,741402,NewHoRRIzon
1846,747167,NanoZfish
1847,116106,IB4SD-TRISTAN
1869,748050,NanoEAscopy
1871,741527,ORION
1882,750928,Brain_stability
1897,740295,ENCOPOL
1901,748585,TRIBBLES
1905,754303,GreQuE
1928,714581,SuPERPORES
1929,739562,DANUBIUS-PP
1961,724692,HETEROPOLITICS
1967,730997,EUROCHAMP-2020
1981,732732,CCHFVaccine
1996,730080,ESROCOS
2022,733273,OptiMalVax
2038,730640,X2Rail-1
2058,730227,SCRREEN
2088,708045,6D STRINGS
2090,731540,An.Dy
2098,731366,ICPerMed Secretariat
2104,731232,GOFLEX
2121,730195,PJ05 Remote Tower
2151,701883,TRAPRODIG
2152,731954,PIXAPP
2184,738364,ADST
2185,730823,FFL4E
2222,689229,DECISIVE
2243,710363,Baltic Gender
2251,730569,IN2SMART
2275,713673,INPhINIT
2276,683258,CentrioleBirthDeath
2277,709637,RRI-Practice
2292,692419,BLUEandGREEN
2297,654444,OPERA
2310,677898,MARCAN
2313,677955,DigitalMemories
2320,683214,CONPOL
2323,701944,OBEDIA-MARK
2325,701844,YOUTHBLOCS
2328,699221,PNOWWA
2331,708556,ASAGIP
2332,702134,DemocInChange
2344,708566,DURO
2345,654462,STEMM-CCS
2358,706781,REOPTIMIZE
2359,686008,RAISELIFE
2374,704995,DE-STRESS
2375,707253,PopClandSATYRICON
2377,678316,OptiQ-CanDo
2378,693642,SMART
2403,690638,ECO-COMPASS
2411,687253,TFQD
2419,667255,Angiolnc
2422,675676,HAoS
2443,691684,ORZEL
2447,678151,TROJANANOHORSE
2448,688784,INSIGHT
2454,725780,LinPro
2455,637943,SmartCardiacPatch
2467,662125,CORONA II
2478,648429,TRANSPOP
2479,660171,EWatLHC
2480,660618,Irish Merchants and Bordeaux
2481,671551,5G-XHaul
2493,659279,STEM ZAP
2494,669088,ERAatUC
2495,660231,SpinMan
2508,660933,PARADOXGREATLAKES
2529,655508,COMMANDEER
2530,659166,NeuroRhomboid
2531,655502,CARDI-ACHE
2532,656779,MOPIGRASFIT
2533,644874,POPART
2538,658988,PS-IRAQ
2539,658035,OceanLiNES
2540,644798,CARDIS
2549,654984,PreFlexMS
2564,654723,Solarfuels
2565,644655,POPULATE
2568,703893,PATH
2570,642661,Mid-TECH
2584,708539,URBACH-ALZ
2586,637138,ECO-Binder
2600,637014,realFlow
2603,633413,MIROCALS
2615,742989,MoTIVE
2616,653718,ENOS
2635,682591,STRESNET
2660,802091,MegaALS
2661,636820,RECOBA
2671,636136,SENIORS
2680,707597,CSR_MEMORY
2681,774210,CO-CREATE
2695,682022,MEDIATE
2696,727297,GasApp
2698,723729,ReWaCEM
2713,708672,SustUrbanFoods
2715,665807,PASTEURDOC
2722,752869,CAR ART
2725,813839,RenalToolBox
2739,707438,SUPEREOM
2747,737534,NEW-AGE
2748,739551,KIOS CoE
2751,690705,AutoMate
2761,704514,InnateMSDyn
2762,633692,SUSFANS
2793,720715,InDIRECT
2803,732328,FashionBrain
2815,725151,INTHER
2816,752438,GEMS
2817,692919,COURAGE
2830,655814,CheliceLand
2831,686116,OptiNanoPro
2850,707840,SpiL
2854,766287,TAPAS
2896,665456,CAPTURE-CTC
2897,745115,OPLD
2899,670494,ISECO
2900,645987,Sport Infinity
2913,758224,NanoVirus
2914,716155,SACCRED
2916,681231,Feel your Reach
2917,780540,CANITEST
2935,658785,DISC
2936,642536,CaFE
2951,645756,GLYCANC
2965,655295,NLRs
2971,693857,TRACES
2983,670743,QuDeT
2984,653943,Moments
2985,746837,KDD-CHASER
2987,637077,PRODIAS
2997,730938,INTERACT
3046,688007,TrimBot2020
3056,658265,CHRISLAS
3058,771417,RYD-QNLO
3062,732947,frontierCities2
3070,710145,SENCOGI
3072,747881,HiPArtDoc
3073,787270,Paget-Advance
3074,692908,CODIC
3076,792489,RIGHTS UP
3077,756698,FITTOM
3078,692448,SOLED
3080,694665,CoBCoM
3081,688175,XoSoft
3091,740627,IN-PREP
3111,661051,RLOOP-AS
3115,636307,FLEXOP
3147,658625,HAT-MOZ-sphere
3197,788231,ProgrES
3223,774244,BRESOV
3251,682809,EndoSubvert
3252,749761,CAlCULUS
3254,739739,Envisage
3257,746167,SESPer
3261,771635,EUSOL
3262,648892,FAKIR
3271,713999,Matryoshka
3275,715037,Re-SENSE
3276,748071,NANO-MIR
3279,643159,APESA
3296,655429,PoetEleg
3297,643580,RETHRIM
3317,644114,fromROLLtoBAG
3326,666624,IRWES
3333,680894,WASP
3334,748004,MiMEtiC
3337,715714,STREAM
3340,707229,ADHERE
3342,717034,TKI resistance
3362,640954,GRACeFUL
3379,695013,pre-FAB
3381,695638,CORREL-CT
3383,656841,metaC-Hfunct
3385,785014,Upgrade DH
3429,772579,ElIonT
3431,810310,J. Heyrovsky Chair
3435,669055,US4GREENCHEM
3445,669466,TUCLA
3449,743791,SUPERSPIN
3453,737757,Q-Air
3458,655844,DEMONH
3463,776322,MiGANSOS
3467,683024,2D-CHEM
3481,749044,MYCROPHOS
3482,756722,TOPODY
3485,713677,OLE-DIOX
3489,660769,SMILE
3490,641353,INTERDOT
3491,656598,FASTQUANTUM
3493,648546,GRAPHICS
3494,681895,MOFcat
3495,656923,IRON_DEPOSITS
3505,724608,JOINTATT
3506,661210,METAPHOR
3522,700907,PRIMORDIAL
3541,769192,LexsemLexcat
3542,799087,LIAE
3543,654861,DAM-NET
3549,655423,NIBSAD
3550,703162,QUERWG
3551,701558,MagNem
3554,738864,GRAPHEEN
3555,744037,QuEST
3558,699941,SmartStars
3559,715173,CHEMO-RISK
3573,771863,FLEXSEM
